Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:10:42.364,114340.0,0.002,BTCUSDT
2025-09-30 00:10:42.422,114339.9,0.047,BTCUSDT
2025-09-30 00:10:42.680,114340.0,0.005,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.014,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.027,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.001,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.031,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.003,BTCUSDT
2025-09-30 00:10:42.818,114340.0,0.011,BTCUSDT
2025-09-30 00:10:42.860,114340.0,0.001,BTCUSDT
2025-09-30 00:10:42.860,114340.0,0.001,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.002,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.004,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.004,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.007,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.001,BTCUSDT
2025-09-30 00:10:43.282,114340.0,0.002,BTCUSDT
2025-09-30 00:10:43.356,114339.9,0.013,BTCUSDT
2025-09-30 00:10:43.375,114340.0,0.002,BTCUSDT
2025-09-30 00:10:43.478,114340.0,0.027,BTCUSDT
2025-09-30 00:10:43.478,114340.0,0.001,BTCUSDT
2025-09-30 00:10:43.527,114339.9,0.048,BTCUSDT
2025-09-30 00:10:43.647,114339.9,0.005,BTCUSDT
2025-09-30 00:10:43.829,114340.0,0.007,BTCUSDT
2025-09-30 00:10:44.015,114339.9,0.17,BTCUSDT
2025-09-30 00:10:44.015,114339.9,0.001,BTCUSDT
2025-09-30 00:10:44.015,114339.9,0.039,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.02,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.001,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.006,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.001,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.002,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.004,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.004,BTCUSDT
2025-09-30 00:10:44.079,114340.0,0.107,BTCUSDT
2025-09-30 00:10:44.226,114340.0,0.138,BTCUSDT
2025-09-30 00:10:44.440,114339.9,0.048,BTCUSDT
2025-09-30 00:10:44.519,114340.0,0.014,BTCUSDT
2025-09-30 00:10:44.558,114340.0,0.028,BTCUSDT
2025-09-30 00:10:45.263,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.423,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.027,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.087,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.001,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.027,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.125,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.218,BTCUSDT
2025-09-30 00:10:45.314,114340.0,0.385,BTCUSDT
2025-09-30 00:10:45.462,114339.9,0.048,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.005,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.006,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.004,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.004,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.001,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.001,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.027,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.001,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.002,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.027,BTCUSDT
2025-09-30 00:10:45.538,114340.0,0.018,BTCUSDT
2025-09-30 00:10:45.547,114339.9,0.026,BTCUSDT
2025-09-30 00:10:45.599,114340.0,0.001,BTCUSDT
2025-09-30 00:10:45.617,114339.9,0.001,BTCUSDT
2025-09-30 00:10:45.621,114340.0,0.1,BTCUSDT
2025-09-30 00:10:45.866,114340.0,0.076,BTCUSDT
2025-09-30 00:10:46.248,114339.9,0.01,BTCUSDT
2025-09-30 00:10:46.307,114340.0,0.009,BTCUSDT
2025-09-30 00:10:46.343,114339.9,0.001,BTCUSDT
2025-09-30 00:10:46.538,114339.9,0.048,BTCUSDT
